value_date,narration,credit,utr
2025-01-13,NEFT-UTR000000000001-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,17460.70,UTR000000000001
2025-01-15,NEFT-UTR000000000002-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,7189.29,UTR000000000002
2025-01-16,NEFT-UTR000000000003-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,10209.13,UTR000000000003
2025-01-22,NEFT-UTR000000000004-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,19756.64,UTR000000000004
2025-01-24,NEFT-UTR000000000005-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,14593.01,UTR000000000005
2025-01-28,NEFT-UTR000000000006-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,6439.02,UTR000000000006
2025-01-30,NEFT-UTR000000000007-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,12618.21,UTR000000000007
2025-01-31,NEFT-UTR000000000008-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,7924.40,UTR000000000008
2025-02-04,NEFT-UTR000000000009-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,6866.08,UTR000000000009
2025-02-06,NEFT-UTR000000000010-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,11905.22,UTR000000000010
2025-02-11,NEFT-UTR000000000011-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,3381.48,UTR000000000011
