order_id,payment_id,gross,fee,gst,net,captured_at,settled_at,credit_utr,credit_batch_id,break_type,is_original
ORD_000740,PAY_000740,77.44,1.55,0.28,75.61,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_000743,PAY_000743,82.96,1.66,0.30,81.00,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_000997,PAY_000997,377.47,7.55,1.36,368.56,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_001220,PAY_001220,182.44,3.65,0.66,178.13,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_002730,PAY_002730,449.62,8.99,1.62,439.01,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_002879,PAY_002879,269.46,5.39,0.97,263.10,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_003150,PAY_003150,169.68,3.39,0.61,165.68,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_003206,PAY_003206,44.65,0.89,0.16,43.60,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_003452,PAY_003452,320.68,6.41,1.15,313.12,2025-01-06,2025-01-08,UTR000000000001,0,chargeback_reversal,True
ORD_003491,PAY_003491,496.35,9.93,1.79,484.63,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_003502,PAY_003502,193.76,3.88,0.70,189.18,2025-01-06,2025-01-08,UTR000000000001,0,netting_split,True
ORD_003876,PAY_003876,105.00,2.10,0.38,102.52,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_004314,PAY_004314,141.89,2.84,0.51,138.54,2025-01-06,2025-01-08,UTR000000000001,0,netting_split,True
ORD_004418,PAY_004418,146.39,2.93,0.53,142.93,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_004552,PAY_004552,119.04,2.38,0.43,116.23,2025-01-06,2025-01-08,UTR000000000001,0,clean,True
ORD_004641,PAY_004641,63.74,1.27,0.23,62.24,2025-01-06,2025-01-08,UTR000000000001,0,chargeback_reversal,True
ORD_000051,PAY_000051,402.84,8.06,1.45,393.33,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_000422,PAY_000422,4.72,0.09,0.02,4.61,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_000594,PAY_000594,284.13,5.68,1.02,277.43,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_000646,PAY_000646,222.99,4.46,0.80,217.73,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_000774,PAY_000774,248.00,4.96,0.89,242.13,2025-01-07,2025-01-09,UTR000000000001,0,rounding_drift,True
ORD_000810,PAY_000810,133.96,2.68,0.48,130.80,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_001157,PAY_001157,114.89,2.30,0.41,112.18,2025-01-06,2025-01-09,UTR000000000001,0,late_settlement,True
ORD_001313,PAY_001313,489.49,9.79,1.76,477.94,2025-01-07,2025-01-09,UTR000000000001,0,chargeback_reversal,True
ORD_001322,PAY_001322,227.18,4.54,0.82,221.82,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_001616,PAY_001616,338.94,6.78,1.22,330.94,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_002298,PAY_002298,449.73,8.99,1.62,439.12,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_002584,PAY_002584,177.69,3.55,0.64,173.50,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_003037,PAY_003037,455.91,9.12,1.64,445.15,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_003178,PAY_003178,349.52,6.99,1.26,341.27,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_003438,PAY_003438,221.37,4.43,0.80,216.14,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_003462,PAY_003462,175.67,3.51,0.63,171.53,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_003605,PAY_003605,386.61,7.73,1.39,377.49,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_004155,PAY_004155,28.59,0.57,0.10,27.92,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_004280,PAY_004280,483.80,9.68,1.74,472.38,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_004772,PAY_004772,324.71,6.49,1.17,317.05,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_004774,PAY_004774,474.99,9.50,1.71,463.78,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_004990,PAY_004990,228.09,4.56,0.82,222.71,2025-01-07,2025-01-09,UTR000000000001,0,clean,True
ORD_000534,PAY_000534,168.15,3.36,0.60,164.19,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_000765,PAY_000765,46.73,0.93,0.17,45.63,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_001100,PAY_001100,184.27,3.69,0.66,179.92,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_001836,PAY_001836,294.36,5.89,1.06,287.41,2025-01-06,2025-01-10,UTR000000000001,0,late_settlement,True
ORD_001910,PAY_001910,64.83,1.30,0.23,63.30,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_002393,PAY_002393,281.47,5.63,1.01,274.83,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_002921,PAY_002921,278.22,5.56,1.00,271.66,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_003376,PAY_003376,306.64,6.13,1.10,299.41,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_004837,PAY_004837,202.46,4.05,0.73,197.68,2025-01-08,2025-01-10,UTR000000000001,0,clean,True
ORD_000204,PAY_000204,467.32,9.35,1.68,456.29,2025-01-09,2025-01-13,UTR000000000001,0,netting_split,True
ORD_000394,PAY_000394,273.17,5.46,0.98,266.73,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_000518,PAY_000518,451.59,9.03,1.63,440.93,2025-01-09,2025-01-13,UTR000000000001,0,chargeback_reversal,True
ORD_000840,PAY_000840,471.43,9.43,1.70,460.30,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_001951,PAY_001951,255.62,5.11,0.92,249.59,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_002022,PAY_002022,207.83,4.16,0.75,202.92,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_002114,PAY_002114,175.14,3.50,0.63,171.01,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_002538,PAY_002538,166.27,3.33,0.60,162.34,2025-01-09,2025-01-13,UTR000000000001,0,refund,True
ORD_002718,PAY_002718,203.27,4.07,0.73,198.47,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_002939,PAY_002939,328.97,6.58,1.18,321.21,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_002957,PAY_002957,263.15,5.26,0.95,256.94,2025-01-09,2025-01-13,UTR000000000001,0,missing_order,True
ORD_003217,PAY_003217,306.22,6.12,1.10,299.00,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_003995,PAY_003995,122.67,2.45,0.44,119.78,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_004221,PAY_004221,155.08,3.10,0.56,151.42,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_004417,PAY_004417,469.37,9.39,1.69,458.29,2025-01-09,2025-01-13,UTR000000000001,0,clean,True
ORD_000238,PAY_000238,423.80,8.48,1.53,413.79,2025-01-10,2025-01-14,UTR000000000001,0,clean,True
ORD_000682,PAY_000682,278.30,5.57,1.00,271.73,2025-01-10,2025-01-14,UTR000000000001,0,netting_split,True
