order_id,payment_id,gross,captured_at
ORD_000740,PAY_000740,77.44,2025-01-06
ORD_000743,PAY_000743,82.96,2025-01-06
ORD_000997,PAY_000997,377.47,2025-01-06
ORD_001220,PAY_001220,182.44,2025-01-06
ORD_002730,PAY_002730,449.62,2025-01-06
ORD_002879,PAY_002879,269.46,2025-01-06
ORD_003150,PAY_003150,169.68,2025-01-06
ORD_003206,PAY_003206,44.65,2025-01-06
ORD_003452,PAY_003452,320.68,2025-01-06
ORD_003491,PAY_003491,496.35,2025-01-06
ORD_003502,PAY_003502,193.76,2025-01-06
ORD_003876,PAY_003876,105.00,2025-01-06
ORD_004314,PAY_004314,141.89,2025-01-06
ORD_004418,PAY_004418,146.39,2025-01-06
ORD_004552,PAY_004552,119.04,2025-01-06
ORD_004641,PAY_004641,63.74,2025-01-06
ORD_000051,PAY_000051,402.84,2025-01-07
ORD_000422,PAY_000422,4.72,2025-01-07
ORD_000594,PAY_000594,284.13,2025-01-07
ORD_000646,PAY_000646,222.99,2025-01-07
ORD_000774,PAY_000774,248.00,2025-01-07
ORD_000810,PAY_000810,133.96,2025-01-07
ORD_001157,PAY_001157,114.89,2025-01-06
ORD_001313,PAY_001313,489.49,2025-01-07
ORD_001322,PAY_001322,227.18,2025-01-07
ORD_001616,PAY_001616,338.94,2025-01-07
ORD_002298,PAY_002298,449.73,2025-01-07
ORD_002584,PAY_002584,177.69,2025-01-07
ORD_003037,PAY_003037,455.91,2025-01-07
ORD_003178,PAY_003178,349.52,2025-01-07
ORD_003438,PAY_003438,221.37,2025-01-07
ORD_003462,PAY_003462,175.67,2025-01-07
ORD_003605,PAY_003605,386.61,2025-01-07
ORD_004155,PAY_004155,28.59,2025-01-07
ORD_004280,PAY_004280,483.80,2025-01-07
ORD_004772,PAY_004772,324.71,2025-01-07
ORD_004774,PAY_004774,474.99,2025-01-07
ORD_004990,PAY_004990,228.09,2025-01-07
ORD_000534,PAY_000534,168.15,2025-01-08
ORD_000765,PAY_000765,46.73,2025-01-08
ORD_001100,PAY_001100,184.27,2025-01-08
ORD_001836,PAY_001836,294.36,2025-01-06
ORD_001910,PAY_001910,64.83,2025-01-08
ORD_002393,PAY_002393,281.47,2025-01-08
ORD_002921,PAY_002921,278.22,2025-01-08
ORD_003376,PAY_003376,306.64,2025-01-08
ORD_004837,PAY_004837,202.46,2025-01-08
ORD_000204,PAY_000204,467.32,2025-01-09
ORD_000394,PAY_000394,273.17,2025-01-09
ORD_000518,PAY_000518,451.59,2025-01-09
ORD_000840,PAY_000840,471.43,2025-01-09
ORD_001951,PAY_001951,255.62,2025-01-09
ORD_002022,PAY_002022,207.83,2025-01-09
ORD_002114,PAY_002114,175.14,2025-01-09
ORD_002538,PAY_002538,166.27,2025-01-09
ORD_002718,PAY_002718,203.27,2025-01-09
ORD_002939,PAY_002939,328.97,2025-01-09
ORD_003217,PAY_003217,306.22,2025-01-09
ORD_003995,PAY_003995,122.67,2025-01-09
ORD_004221,PAY_004221,155.08,2025-01-09
ORD_004417,PAY_004417,469.37,2025-01-09
ORD_000238,PAY_000238,423.80,2025-01-10
ORD_000682,PAY_000682,278.30,2025-01-10
ORD_000825,PAY_000825,96.50,2025-01-10
ORD_001567,PAY_001567,355.83,2025-01-10
ORD_001928,PAY_001928,180.81,2025-01-10
ORD_001948,PAY_001948,267.23,2025-01-10
ORD_002051,PAY_002051,96.65,2025-01-10
ORD_002383,PAY_002383,286.20,2025-01-08
ORD_002570,PAY_002570,189.86,2025-01-10
ORD_003070,PAY_003070,159.72,2025-01-10
ORD_003800,PAY_003800,67.45,2025-01-10
ORD_004336,PAY_004336,130.82,2025-01-10
ORD_004791,PAY_004791,408.06,2025-01-10
ORD_004815,PAY_004815,16.33,2025-01-10
ORD_004965,PAY_004965,172.73,2025-01-08
ORD_000084,PAY_000084,168.48,2025-01-13
ORD_000135,PAY_000135,148.78,2025-01-13
ORD_000226,PAY_000226,250.58,2025-01-13
ORD_000269,PAY_000269,271.06,2025-01-13
ORD_000414,PAY_000414,432.00,2025-01-13
ORD_000589,PAY_000589,131.06,2025-01-13
ORD_000649,PAY_000649,266.24,2025-01-13
ORD_000796,PAY_000796,192.90,2025-01-13
ORD_000871,PAY_000871,228.99,2025-01-13
ORD_001044,PAY_001044,153.90,2025-01-13
ORD_001068,PAY_001068,273.15,2025-01-13
ORD_001204,PAY_001204,233.14,2025-01-13
ORD_001317,PAY_001317,43.46,2025-01-13
ORD_001355,PAY_001355,34.89,2025-01-13
ORD_001720,PAY_001720,474.09,2025-01-13
ORD_001893,PAY_001893,90.07,2025-01-13
ORD_001901,PAY_001901,402.98,2025-01-13
ORD_002037,PAY_002037,163.66,2025-01-13
ORD_002129,PAY_002129,302.93,2025-01-13
ORD_002349,PAY_002349,151.81,2025-01-13
ORD_002556,PAY_002556,496.25,2025-01-13
ORD_002814,PAY_002814,223.18,2025-01-13
ORD_002886,PAY_002886,205.87,2025-01-13
ORD_003191,PAY_003191,304.63,2025-01-13
ORD_003299,PAY_003299,67.88,2025-01-13
ORD_003307,PAY_003307,104.54,2025-01-13
ORD_003320,PAY_003320,164.73,2025-01-09
ORD_003332,PAY_003332,347.23,2025-01-13
ORD_003393,PAY_003393,325.44,2025-01-13
ORD_003458,PAY_003458,17.33,2025-01-13
ORD_003698,PAY_003698,242.75,2025-01-13
ORD_003792,PAY_003792,6.64,2025-01-13
ORD_003804,PAY_003804,138.01,2025-01-13
ORD_003861,PAY_003861,405.41,2025-01-13
ORD_003878,PAY_003878,73.51,2025-01-13
ORD_004074,PAY_004074,50.26,2025-01-13
ORD_004135,PAY_004135,173.23,2025-01-13
ORD_004166,PAY_004166,357.11,2025-01-13
ORD_004247,PAY_004247,157.09,2025-01-13
ORD_004304,PAY_004304,364.01,2025-01-09
ORD_004337,PAY_004337,477.53,2025-01-13
ORD_004379,PAY_004379,114.71,2025-01-13
ORD_004402,PAY_004402,255.70,2025-01-13
ORD_004449,PAY_004449,367.40,2025-01-13
ORD_004500,PAY_004500,224.09,2025-01-13
ORD_004558,PAY_004558,199.66,2025-01-13
ORD_004858,PAY_004858,307.55,2025-01-13
ORD_000767,PAY_000767,408.65,2025-01-14
ORD_000794,PAY_000794,431.22,2025-01-14
ORD_001728,PAY_001728,375.71,2025-01-14
ORD_001840,PAY_001840,355.32,2025-01-14
ORD_002030,PAY_002030,74.17,2025-01-13
ORD_002079,PAY_002079,101.48,2025-01-14
ORD_002559,PAY_002559,436.71,2025-01-14
ORD_002604,PAY_002604,246.31,2025-01-14
ORD_002697,PAY_002697,272.46,2025-01-14
ORD_002749,PAY_002749,495.04,2025-01-14
ORD_003350,PAY_003350,445.32,2025-01-14
ORD_003641,PAY_003641,357.35,2025-01-14
ORD_003823,PAY_003823,279.62,2025-01-14
ORD_004146,PAY_004146,31.81,2025-01-14
ORD_004231,PAY_004231,345.68,2025-01-14
ORD_004256,PAY_004256,421.68,2025-01-14
ORD_004429,PAY_004429,144.68,2025-01-14
ORD_004541,PAY_004541,95.32,2025-01-14
ORD_004968,PAY_004968,291.30,2025-01-14
ORD_000421,PAY_000421,454.90,2025-01-15
ORD_000484,PAY_000484,460.39,2025-01-15
ORD_000632,PAY_000632,120.71,2025-01-15
ORD_000811,PAY_000811,462.24,2025-01-10
ORD_001160,PAY_001160,51.21,2025-01-15
ORD_001381,PAY_001381,183.49,2025-01-15
ORD_001432,PAY_001432,45.20,2025-01-15
ORD_001659,PAY_001659,129.40,2025-01-15
