payment_id,gross,fee,gst,net,settled_at
PAY_000051,402.84,8.06,1.45,393.33,2025-01-08
PAY_000068,302.21,6.04,1.09,295.08,2025-01-08
PAY_000084,168.48,3.37,0.61,164.50,2025-01-08
PAY_000135,148.78,2.98,0.54,145.26,2025-01-08
PAY_000204,467.32,9.35,1.68,456.29,2025-01-08
PAY_000226,250.58,5.01,0.90,244.67,2025-01-08
PAY_000238,423.80,8.48,1.53,413.79,2025-01-08
PAY_000269,271.06,5.42,0.98,264.66,2025-01-08
PAY_000394,273.17,5.46,0.98,266.73,2025-01-08
PAY_000414,432.00,8.64,1.56,421.80,2025-01-08
PAY_000422,4.72,0.09,0.02,4.61,2025-01-08
PAY_000017,444.17,8.88,1.60,433.69,2025-01-09
PAY_000027,249.90,5.00,0.90,244.00,2025-01-09
PAY_000074,411.20,8.22,1.48,401.50,2025-01-09
PAY_000124,393.87,7.88,1.42,384.57,2025-01-09
PAY_000163,119.75,2.40,0.43,116.92,2025-01-09
PAY_000175,267.51,5.35,0.96,261.20,2025-01-09
PAY_000270,355.10,7.10,1.28,346.72,2025-01-09
PAY_000272,415.84,8.32,1.50,406.02,2025-01-09
PAY_000280,269.18,5.38,0.97,262.83,2025-01-09
PAY_000286,142.57,2.85,0.51,139.21,2025-01-09
PAY_000291,55.15,1.10,0.20,53.85,2025-01-09
PAY_000421,454.90,9.10,1.64,444.16,2025-01-09
PAY_000423,79.85,1.60,0.29,77.96,2025-01-09
PAY_000428,123.95,2.48,0.45,121.02,2025-01-09
PAY_000434,224.38,4.49,0.81,219.08,2025-01-09
PAY_000448,255.64,5.11,0.92,249.61,2025-01-09
PAY_000450,4.18,0.08,0.01,4.09,2025-01-09
PAY_000484,460.39,9.21,1.66,449.52,2025-01-09
PAY_000004,102.33,2.05,0.37,99.91,2025-01-10
PAY_000085,54.86,1.10,0.20,53.56,2025-01-10
PAY_000097,479.93,9.60,1.73,468.60,2025-01-10
PAY_000108,41.46,0.83,0.15,40.48,2025-01-10
PAY_000122,315.12,6.30,1.13,307.69,2025-01-10
PAY_000139,34.34,0.69,0.12,33.53,2025-01-10
PAY_000149,143.71,2.87,0.52,140.32,2025-01-10
PAY_000187,443.38,8.87,1.60,432.91,2025-01-10
PAY_000258,441.06,8.82,1.59,430.65,2025-01-10
PAY_000336,318.84,6.38,1.15,311.31,2025-01-10
PAY_000338,291.23,5.82,1.05,284.36,2025-01-10
PAY_000349,26.97,0.54,0.10,26.33,2025-01-10
PAY_000363,361.17,7.22,1.30,352.65,2025-01-10
PAY_000412,312.41,6.25,1.12,305.04,2025-01-10
PAY_000454,186.83,3.74,0.67,182.42,2025-01-10
PAY_000008,257.59,5.15,0.93,251.51,2025-01-13
PAY_000036,232.54,4.65,0.84,227.05,2025-01-13
PAY_000059,124.25,2.48,0.45,121.32,2025-01-13
PAY_000098,172.61,3.45,0.62,168.54,2025-01-13
PAY_000128,339.50,6.79,1.22,331.49,2025-01-13
PAY_000154,159.21,3.18,0.57,155.46,2025-01-13
PAY_000160,161.70,3.23,0.58,157.89,2025-01-13
PAY_000192,17.89,0.36,0.06,17.43,2025-01-13
PAY_000206,141.09,2.82,0.51,137.76,2025-01-13
PAY_000208,484.72,9.69,1.74,473.29,2025-01-13
PAY_000216,413.33,8.27,1.49,403.57,2025-01-13
PAY_000217,218.05,4.36,0.78,212.91,2025-01-13
PAY_000229,420.72,8.41,1.51,410.80,2025-01-13
PAY_000239,332.46,6.65,1.20,324.61,2025-01-13
